Cnd 23030 ==> LE2 | Aria T'Loak | Friendship(3030) < [[Argument]]
Cnd 23031 ==> LE2 | Aria T'Loak | Friendship(3031) == [[Argument]]
Cnd 23032 ==> LE2 | Aria T'Loak | Friendship(3032) > [[Argument]]
Cnd 23033 ==> LE2 | Aria T'Loak | Loyalty(3033) < [[Argument]]
Cnd 23034 ==> LE2 | Aria T'Loak | Loyalty(3034) == [[Argument]]
Cnd 23035 ==> LE2 | Aria T'Loak | Loyalty(3035) > [[Argument]]
Cnd 23036 ==> LE2 | Aria T'Loak | Rivalry(3036) < [[Argument]]
Cnd 23037 ==> LE2 | Aria T'Loak | Rivalry(3037) == [[Argument]]
Cnd 23038 ==> LE2 | Aria T'Loak | Rivalry(3038) > [[Argument]]
Cnd 23039 ==> LE2 | Aria T'Loak | Romantic Interest(3039) < [[Argument]]
Cnd 23040 ==> LE2 | Aria T'Loak | Romantic Interest(3040) == [[Argument]]
Cnd 23041 ==> LE2 | Aria T'Loak | Romantic Interest(3041) > [[Argument]]
Cnd 23042 ==> LE2 | Aria T'Loak | Sexual Interest(3042) < [[Argument]]
Cnd 23043 ==> LE2 | Aria T'Loak | Sexual Interest(3043) == [[Argument]]
Cnd 23044 ==> LE2 | Aria T'Loak | Sexual Interest(3044) > [[Argument]]
Cnd 23130 ==> LE2 | Armando-Owen Bailey | Friendship(3130) < [[Argument]]
Cnd 23131 ==> LE2 | Armando-Owen Bailey | Friendship(3131) == [[Argument]]
Cnd 23132 ==> LE2 | Armando-Owen Bailey | Friendship(3132) > [[Argument]]
Cnd 23133 ==> LE2 | Armando-Owen Bailey | Loyalty(3133) < [[Argument]]
Cnd 23134 ==> LE2 | Armando-Owen Bailey | Loyalty(3134) == [[Argument]]
Cnd 23135 ==> LE2 | Armando-Owen Bailey | Loyalty(3135) > [[Argument]]
Cnd 23136 ==> LE2 | Armando-Owen Bailey | Rivalry(3136) < [[Argument]]
Cnd 23137 ==> LE2 | Armando-Owen Bailey | Rivalry(3137) == [[Argument]]
Cnd 23138 ==> LE2 | Armando-Owen Bailey | Rivalry(3138) > [[Argument]]
